species,family,namephylo,namephylo1,status,community,lifehistory,growthform,native,rangeedge,specialization,Nfix,C34,raritycategory,rarity
Commelina communis,Commelinaceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,rare,0.096385542
Conium maculatum,Umbelliferae,,,1,man-made,biennial,forb,non-native,0,2,not,C3,occassional,0.265060241
Convallaria majalis,Liliaceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,occassional,0.325301205
Convolvulus arvensis,Convolvulaceae,,,1,man-made,perennial,vine,non-native,0,2,not,C3,occassional,0.578313253
Conyza canadensis,Asteraceae,,,1,man-made,annual/biennial,forb,native,0,1,not,C3,common,0.843373494
Coronilla varia,Fabaceae,,,1,man-made,perennial,vine,non-native,0,1,N-fix,C3,rare,0.204819277
Cosmos sulphureus,Asteraceae,,,0,man-made,annual,forb,non-native,1,1,not,C3,rare,0.012048193
Crataegus crus-galli,Rosaceae,,,1,man-made,perennial,woody,native,0,1,not,C3,occassional,0.265060241
Crotalaria sagittalis,Fabaceae,,,0,man-made,annual/perennial,forb,native,1,1,N-fix,C3,rare,0.036144578
Cynodon dactylon,Poaceae,,,1,man-made,perennial,graminoid,non-native,1,1,not,C4,rare,0.072289157
Cynoglossum officinale,Boraginaceae,,,1,man-made,biennial,forb,non-native,0,1,not,C3,occassional,0.56626506
Cyperus strigosus,Cyperaceae,,,1,man-made,perennial,graminoid,native,0,1,not,C4,occassional,0.409638554
Dactylis glomerata,Poaceae,,,1,man-made,perennial,graminoid,non-native,0,2,not,C3,common,0.903614458
Datura stramonium,Solanaceae,,,1,man-made,annual,forb,non-native,0,1,not,C3,occassional,0.34939759
Daucus carota,Umbelliferae,,,1,man-made,biennial,forb,non-native,0,2,not,C3,common,0.891566265
Desmodium illinoense,Fabaceae,,,1,man-made,perennial,forb,native,0,2,N-fix,C3,rare,0.21686747
Dianthus armeria,Caryophyllaceae,,,1,man-made,annual/biennial,forb,non-native,0,2,not,C3,occassional,0.614457831
Dianthus barbatus,Caryophyllaceae,,,1,man-made,perennial,forb,non-native,0,1,not,C3,rare,0.228915663
Dianthus deltoides,Caryophyllaceae,,,1,man-made,perennial,forb,non-native,0,1,not,C3,rare,0.13253012
Digitaria cognata,Poaceae,,,1,man-made,perennial,graminoid,native,0,2,not,C4,rare,0.204819277
Digitaria ischaemum,Poaceae,,,1,man-made,annual,graminoid,non-native,0,1,not,C4,occassional,0.554216867
Digitaria sanguinalis,Poaceae,,,1,man-made,annual,graminoid,non-native,0,2,not,C4,occassional,0.554216867
Dipsacus fullonum,Dipacaceae,,,1,man-made,biennial,forb,native,0,2,not,C3,occassional,0.301204819
Echinacea purpurea,Asteraceae,,,0,man-made,perennial,forb,native,1,1,not,C3,rare,0.108433735
Echinochloa crusgalli,Poaceae,,,1,man-made,annual,graminoid,non-native,0,2,not,C4,occassional,0.554216867
Echinops sphaerocephalus,Asteraceae,,,0,man-made,perennial,forb,non-native,0,1,not,C3,rare,0.096385542
Echium vulgare,Boraginaceae,,,1,man-made,annual/perennial,forb,non-native,0,1,not,C3,occassional,0.481927711
Elaeagnus umbellata,Elaeagnaceae,,,1,man-made,perennial,woody,non-native,0,1,N-fix,C3,occassional,0.409638554
Eleusine indica,Poaceae,,,1,man-made,annual,graminoid,non-native,0,1,not,C4,rare,0.192771084
Elymus repens,Poaceae,,,1,man-made,perennial,graminoid,non-native,0,2,not,C3,common,0.855421687
Epilobium hirsutum,Onograceae,,,1,man-made,perennial,forb,non-native,0,3,not,C3,occassional,0.385542169
Equisetum arvense,Equisetaceae,,,1,man-made,perennial,forb,native,0,2,not,C3,common,0.915662651
Equisetum hyemale,Equisetaceae,,,1,man-made,perennial,forb,native,0,1,not,C3,occassional,0.710843373
Eragrostis spectabilis,Poaceae,,,1,man-made,perennial,graminoid,native,0,2,not,C4,occassional,0.493975904
Erigeron strigosus,Asteraceae,,,1,man-made,annual/perennial,forb,native,0,2,not,C3,common,0.86746988
Erodium cicutarium,Geraniaceae,,,1,man-made,annual/biennial,forb,non-native,0,3,not,C3,occassional,0.397590361
Erophila verna,Brassicaceae,,,1,man-made,annual,forb,non-native,0,1,not,C3,rare,0.156626506
Euonymus europaea,Celastraceae,,,1,man-made,perennial,woody,non-native,1,1,not,C3,rare,0.072289157
Euphorbia cyparissias,Euphorbiaceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,occassional,0.674698795
Euphorbia dentata,Euphorbiaceae,,,1,man-made,annual,forb,non-native,1,2,not,C3,rare,0.024096386
Euphorbia esula,Euphorbiaceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,occassional,0.457831325
Euphorbia glyptosperma,Euphorbiaceae,,,1,man-made,annual,forb,native,0,2,not,C3,occassional,0.614457831
Euphorbia maculata,Euphorbiaceae,,,1,man-made,annual,forb,native,0,2,not,C3,occassional,0.602409639
Euphorbia peplus,Euphorbiaceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,rare,0.096385542
Festuca pratensis,Poaceae,,,1,man-made,perennial,graminoid,non-native,0,2,not,C3,occassional,0.313253012
Festuca rubra,Poaceae,,,1,man-made,perennial,graminoid,non-native,0,1,not,C3,occassional,0.518072289
Gaura coccinea,Onograceae,,,0,man-made,perennial,forb,native,1,1,not,C3,rare,0.024096386
Geranium carolinianum,Geraniaceae,,,1,man-made,annual/biennial,forb,native,0,2,not,C3,rare,0.204819277
Geranium pusillum,Geraniaceae,,,1,man-made,annual/biennial,forb,non-native,0,2,not,C3,occassional,0.34939759
Glyceria acutiflora,Poaceae,,,1,man-made,perennial,graminoid,native,1,1,not,C3,rare,0.024096386
Hedeoma hispida,Labiatae,,,1,man-made,annual,forb,native,0,2,not,C3,occassional,0.34939759
Helianthus annuus,Asteraceae,,,1,man-made,annual,forb,native,1,1,not,C3,occassional,0.409638554
Helianthus tuberosus,Asteraceae,,,1,man-made,perennial,forb,native,0,1,not,C3,occassional,0.361445783
Heliopsis helianthoides,Asteraceae,,,1,man-made,perennial,forb,native,0,2,not,C3,occassional,0.43373494
Hemerocallis fulva,Liliaceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,occassional,0.421686747
Hesperis matronalis,Brassicaceae,,,1,man-made,perennial,forb,non-native,0,3,not,C3,occassional,0.373493976
Hesperostipa comata,Poaceae,,,0,man-made,perennial,graminoid,native,1,1,not,C3,rare,0.024096386
Hibiscus moscheutos,Malvaceae,,,1,man-made,annual/perennial,forb,native,0,1,not,C3,rare,0.156626506
Hibiscus trionum,Malvaceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,occassional,0.253012048
Hieracium aurantiacum,Asteraceae,,,1,man-made,perennial,forb,non-native,0,3,not,C3,common,0.939759036
Hieracium caespitosum,Asteraceae,,,1,man-made,perennial,forb,non-native,0,3,not,C3,occassional,0.337349398
Hieracium piloselloides,Asteraceae,,,1,man-made,perennial,forb,non-native,0,1,not,C3,occassional,0.542168675
Hordeum jubatum,Poaceae,,,1,man-made,perennial,graminoid,native,0,2,not,C3,occassional,0.638554217
Humulus lupulus,Cannabaceae,,,1,man-made,perennial,vine,non-native,0,1,not,C3,occassional,0.325301205
Hypericum gentianoides,Guttiferae,,,1,man-made,annual,forb,native,0,1,not,C3,rare,0.108433735
Hypericum perforatum,Guttiferae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,common,0.975903614
Hypochaeris radicata,Asteraceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,occassional,0.337349398
Iris germanica,Iridaceae,,,1,man-made,perennial,forb,non-native,0,1,not,C3,rare,0.108433735
Lactuca canadensis,Asteraceae,,,1,man-made,annual/biennial,forb,native,0,2,not,C3,common,0.795180723
Lactuca serriola,Asteraceae,,,1,man-made,annual/biennial,forb,non-native,0,3,not,C3,occassional,0.530120482
Lamium amplexicaule,Labiatae,,,1,man-made,annual/biennial,forb,non-native,0,1,not,C3,rare,0.144578313
Lamium purpureum,Labiatae,,,1,man-made,annual,forb,non-native,0,2,not,C3,occassional,0.361445783
Lapsana communis,Asteraceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,rare,0.21686747
Lathyrus latifolius,Fabaceae,,,1,man-made,perennial,vine,non-native,0,1,N-fix,C3,occassional,0.493975904
Lechea stricta,Cistaceae,,,1,man-made,perennial,forb,native,1,1,not,C3,rare,0.024096386
Leonurus cardiaca,Labiatae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,common,0.771084337
Lepidium campestre,Brassicaceae,,,1,man-made,annual/biennial,forb,non-native,0,1,not,C3,occassional,0.686746988
Linaria vulgaris,Scrophulariaceae,,,1,man-made,perennial,forb,non-native,0,1,not,C3,common,0.807228916
Lithospermum arvense,Boraginaceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,occassional,0.337349398
Lolium perenne,Poaceae,,,1,man-made,annual/perennial,graminoid,non-native,0,2,not,C3,occassional,0.578313253
Lonicera japonica,Caprifoliaceae,,,1,man-made,perennial,vine,non-native,0,5,not,C3,rare,0.096385542
Lonicera morrowii,Caprifoliaceae,,,1,man-made,perennial,woody,non-native,0,2,not,C3,occassional,0.265060241
Lotus corniculatus,Fabaceae,,,1,man-made,perennial,forb,non-native,0,2,N-fix,C3,occassional,0.554216867
Lunaria annua,Brassicaceae,,,1,man-made,annual/biennial,forb,non-native,0,2,not,C3,rare,0.120481928
Lychnis coronaria,Caryophyllaceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,occassional,0.313253012
Malva moschata,Malvaceae,,,1,man-made,perennial,forb,non-native,0,1,not,C3,occassional,0.542168675
Malva neglecta,Malvaceae,,,1,man-made,annual/perennial,forb,non-native,0,2,not,C3,occassional,0.674698795
Marrubium vulgare,Labiatae,,,1,man-made,perennial,forb,non-native,0,1,not,C3,rare,0.180722892
Matricaria discoidea,Asteraceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,occassional,0.710843373
Medicago lupulina,Fabaceae,,,1,man-made,annual/perennial,forb,non-native,0,3,N-fix,C3,common,1.012048193
Medicago sativa,Fabaceae,,,1,man-made,annual/perennial,forb,non-native,0,2,N-fix,C3,occassional,0.698795181
Melilotus albus,Fabaceae,,,1,man-made,annual/perennial,forb,non-native,0,2,N-fix,C3,common,0.903614458
Mentha spicata,Labiatae,,,1,man-made,perennial,forb,non-native,0,1,not,C3,occassional,0.34939759
Mirabilis nyctaginea,Nyctaginaceae,,,1,man-made,perennial,forb,native,0,1,not,C3,occassional,0.506024096
Mollugo verticillata,Molluginaceae,,,1,man-made,annual,forb,native,0,1,not,C3,occassional,0.698795181
Morus alba,Moraceae,,,1,man-made,perennial,woody,non-native,0,1,not,C3,occassional,0.43373494
Myosotis arvensis,Boraginaceae,,,1,man-made,annual,forb,non-native,0,1,not,C3,rare,0.228915663
Narcissus pseudonarcissus,Amaryllidaceae,,,1,man-made,perennial,forb,non-native,0,3,not,C3,rare,0.036144578
Nepeta cataria,Labiatae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,common,0.78313253
Oxalis fontana,Oxalidaceae,,,1,man-made,perennial,forb,native,0,2,not,C3,common,0.795180723
Panicum capillare,Poaceae,,,1,man-made,annual,graminoid,native,0,2,not,C4,common,0.843373494
Panicum dichotomiflorum,Poaceae,,,1,man-made,annual,graminoid,native,0,2,not,C4,occassional,0.34939759
Parthenium hispidum,Asteraceae,,,1,man-made,perennial,forb,native,1,1,not,C3,rare,0.012048193
Pascopyrum smithii,Poaceae,,,1,man-made,perennial,graminoid,native,0,1,not,C3,rare,0.180722892
Pastinaca sativa,Umbelliferae,,,1,man-made,perennial,forb,non-native,0,1,not,C3,occassional,0.542168675
Penstemon digitalis,Scrophulariaceae,,,1,man-made,perennial,forb,native,1,2,not,C3,occassional,0.43373494
Petunia atkinsiana,Solanaceae,,,1,man-made,annual/perennial,forb,non-native,0,2,not,C3,rare,0.072289157
Phleum pratense,Poaceae,,,1,man-made,perennial,graminoid,non-native,0,2,not,C3,common,0.891566265
Phlox bifida,Polemoniaceae,,,1,man-made,perennial,woody,native,1,1,not,C3,rare,0.024096386
Phlox paniculata,Polemoniaceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,occassional,0.385542169
Phlox subulata,Polemoniaceae,,,1,man-made,perennial,forb,native,0,2,not,C3,occassional,0.373493976
Physalis heterophylla,Solanaceae,,,1,man-made,perennial,forb,native,0,2,not,C3,common,0.795180723
Physalis longifolia,Solanaceae,,,1,man-made,perennial,forb,native,0,2,not,C3,occassional,0.409638554
Pinus banksiana,Pinaceae,,,1,man-made,perennial,woody,non-native,0,2,not,C3,occassional,0.710843373
Pinus sylvestris,Pinaceae,,,1,man-made,perennial,woody,non-native,0,1,not,C3,rare,0.192771084
Plantago aristata,Plantaginaceae,,,1,man-made,annual/perennial,forb,native,0,1,not,C3,occassional,0.361445783
Plantago lanceolata,Plantaginaceae,,,1,man-made,annual/perennial,forb,non-native,0,2,not,C3,common,0.975903614
Plantago major,Plantaginaceae,,,1,man-made,perennial,forb,non-native,0,3,not,C3,common,0.831325301
Plantago rugelii,Plantaginaceae,,,1,man-made,perennial,forb,native,0,2,not,C3,occassional,0.686746988
Poa annua,Poaceae,,,1,man-made,annual,graminoid,non-native,0,2,not,C3,occassional,0.734939759
Poa bulbosa,Poaceae,,,1,man-made,perennial,graminoid,non-native,1,1,not,C3,occassional,0.265060241
Poa compressa,Poaceae,,,1,man-made,perennial,graminoid,non-native,0,1,not,C3,common,0.951807229
Polygonella articulata,Polygonaceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,occassional,0.530120482
Polygonum hydropiper,Polygonaceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,occassional,0.506024096
Polygonum orientale,Polygonaceae,,,1,man-made,annual,forb,non-native,0,1,not,C3,rare,0.13253012
Populus alba,Salicaceae,,,1,man-made,perennial,woody,non-native,0,2,not,C3,occassional,0.43373494
Portulaca grandiflora,Portulacaceae,,,1,man-made,annual,forb,non-native,0,1,not,C4,rare,0.036144578
Portulaca oleracea,Portulacaceae,,,1,man-made,annual,forb,non-native,0,1,not,C4,occassional,0.397590361
Potentilla argentea,Rosaceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,common,0.855421687
Potentilla norvegica,Rosaceae,,,1,man-made,annual/perennial,forb,non-native,0,1,not,C3,common,0.879518072
Prunella vulgaris,Labiatae,,,1,man-made,perennial,forb,native,0,2,not,C3,common,1
Prunus mahaleb,Rosaceae,,,1,man-made,perennial,woody,non-native,0,2,not,C3,rare,0.144578313
Prunus nigra,Rosaceae,,,1,man-made,perennial,woody,non-native,0,1,not,C3,occassional,0.337349398
Prunus persica,Rosaceae,,,1,man-made,perennial,woody,non-native,0,1,not,C3,rare,0.120481928
Ptelea trifoliata,Rutaceae,,,1,man-made,perennial,woody,native,0,1,not,C3,occassional,0.265060241
Pyrus communis,Rosaceae,,,1,man-made,perennial,woody,non-native,0,2,not,C3,rare,0.204819277
Ranunculus acris,Ranunculaceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,common,0.795180723
Rhus glabra,Anacardiaceae,,,1,man-made,perennial,woody,native,0,2,not,C3,occassional,0.385542169
Rhus typhina,Anacardiaceae,,,1,man-made,perennial,woody,native,0,3,not,C3,occassional,0.710843373
Ribes odoratum,Grossulariaceae,,,1,man-made,perennial,woody,non-native,1,2,not,C3,rare,0.204819277
Robinia hispida,Fabaceae,,,1,man-made,perennial,woody,native,0,2,N-fix,C3,rare,0.228915663
Robinia pseudoacacia,Fabaceae,,,1,man-made,perennial,woody,non-native,0,2,N-fix,C3,occassional,0.542168675
Rosa carolina,Rosaceae,,,1,man-made,perennial,woody,native,0,2,not,C3,occassional,0.421686747
Rubus flagellaris,Rosaceae,,,1,man-made,perennial,woody,native,0,3,not,C3,occassional,0.662650602
Rumex acetosella,Polygonaceae,,,1,man-made,perennial,forb,non-native,0,1,not,C3,common,1.012048193
Salvia reflexa,Labiatae,,,1,man-made,annual,forb,native,0,1,not,C3,rare,0.048192771
Saponaria officinalis,Caryophyllaceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,occassional,0.722891566
Sclerochloa dura,Poaceae,,,1,man-made,annual,graminoid,non-native,0,1,not,C4,occassional,0.325301205
Secale cereale,Poaceae,,,1,man-made,annual,graminoid,non-native,0,1,not,C3,occassional,0.469879518
Sedum acre,Crassulaceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,occassional,0.481927711
Sedum telephium,Crassulaceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,occassional,0.253012048
Setaria pumila/glauca,Poaceae,,,1,man-made,annual,graminoid,non-native,0,2,not,C4,occassional,0.638554217
Setaria verticillata,Poaceae,,,1,man-made,annual,graminoid,non-native,0,2,not,C4,rare,0.120481928
Setaria viridis,Poaceae,,,1,man-made,annual,graminoid,non-native,0,2,not,C4,common,0.843373494
Silene armeria,Caryophyllaceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,occassional,0.253012048
Silene noctiflora,Caryophyllaceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,occassional,0.325301205
Silene pratensis,Caryophyllaceae,,,1,man-made,perennial,forb,non-native,1,1,not,C3,common,0.891566265
Silene vulgaris,Caryophyllaceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,occassional,0.614457831
Silphium perfoliatum,Asteraceae,,,1,man-made,perennial,forb,native,0,1,not,C3,rare,0.096385542
Sisymbrium officinale,Brassicaceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,occassional,0.34939759
Solanum carolinense,Solanaceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,occassional,0.409638554
Solanum dulcamara,Solanaceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,common,0.915662651
Solanum physalifolium,Solanaceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,rare,0.120481928
Solanum ptycanthum,Solanaceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,occassional,0.734939759
Solanum rostratum,Solanaceae,,,1,man-made,annual,forb,non-native,0,1,not,C3,occassional,0.277108434
Solanum tuberosum,Solanaceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,rare,0.084337349
Sonchus arvensis,Asteraceae,,,1,man-made,perennial,forb,non-native,0,1,not,C3,common,0.78313253
Sonchus asper,Asteraceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,occassional,0.481927711
Sorghum halepense,Poaceae,,,1,man-made,perennial,graminoid,non-native,0,2,not,C4,rare,0.096385542
Spiranthes tuberosa ,Orchidaceae,,,1,man-made,perennial,forb,native,1,2,not,C3,rare,0.108433735
Sporobolus asper/compositus,Poaceae,,,1,man-made,perennial,graminoid,native,0,1,not,C4,rare,0.168674699
Sporobolus cryptandrus,Poaceae,,,1,man-made,perennial,graminoid,native,0,2,not,C4,occassional,0.686746988
Sporobolus vaginiflorus,Poaceae,,,1,man-made,annual,graminoid,native,0,2,not,C4,occassional,0.698795181
Syringa vulgaris,Oleaceae,,,1,man-made,perennial,woody,non-native,0,2,not,C3,occassional,0.397590361
Tanacetum vulgare,Asteraceae,,,1,man-made,perennial,forb,non-native,0,1,not,C3,occassional,0.602409639
Thlaspi arvense,Brassicaceae,,,1,man-made,annual,forb,non-native,0,1,not,C3,occassional,0.397590361
Tragopogon dubius,Asteraceae,,,1,man-made,annual/biennial,forb,non-native,0,2,not,C3,common,0.807228916
Tragopogon porrifolius,Asteraceae,,,1,man-made,biennial,forb,non-native,0,1,not,C3,occassional,0.289156627
Tridens flavus,Poaceae,,,1,man-made,perennial,graminoid,native,0,1,not,C4,occassional,0.337349398
Trifolium arvense,Fabaceae,,,1,man-made,annual,forb,non-native,0,4,N-fix,C3,occassional,0.385542169
Trifolium dubium,Fabaceae,,,1,man-made,annual,forb,non-native,0,2,N-fix,C3,rare,0.204819277
Trifolium hybridum,Fabaceae,,,1,man-made,annual,forb,non-native,0,2,N-fix,C3,common,0.843373494
Trifolium pratense,Fabaceae,,,1,man-made,annual,forb,non-native,0,3,N-fix,C3,common,0.915662651
Trifolium repens,Fabaceae,,,1,man-made,annual/perennial,forb,non-native,0,3,N-fix,C3,common,0.86746988
Triticum aestivum,Poaceae,,,1,man-made,annual,graminoid,non-native,0,2,not,C3,occassional,0.409638554
Ulmus pumila,Ulmaceae,,,1,man-made,perennial,woody,non-native,0,2,not,C3,occassional,0.265060241
Verbascum blattaria,Scrophulariaceae,,,1,man-made,biennial,forb,non-native,0,2,not,C3,occassional,0.506024096
Verbascum phlomoides,Scrophulariaceae,,,1,man-made,biennial,forb,non-native,0,1,not,C3,rare,0.036144578
Verbascum thapsus,Scrophulariaceae,,,1,man-made,biennial,forb,non-native,0,2,not,C3,common,0.951807229
Verbena bracteata,Verbenaceae,,,1,man-made,annual/perennial,forb,non-native,0,1,not,C3,occassional,0.722891566
Verbena stricta,Verbenaceae,,,1,man-made,annual/perennial,forb,non-native,0,3,not,C3,occassional,0.518072289
Veronica arvensis,Scrophulariaceae,,,1,man-made,annual,forb,non-native,0,1,not,C3,common,0.819277108
Veronica persica,Scrophulariaceae,,,1,man-made,annual,forb,non-native,0,1,not,C3,rare,0.192771084
Veronica serpyllifolia,Scrophulariaceae,,,1,man-made,perennial,forb,non-native,0,1,not,C3,common,0.807228916
Vicia americana,Fabaceae,,,1,man-made,perennial,vine,native,0,2,N-fix,C3,occassional,0.542168675
Vicia cracca,Fabaceae,,,1,man-made,perennial,vine,non-native,0,2,N-fix,C3,occassional,0.253012048
Vicia villosa,Fabaceae,,,1,man-made,annual/perennial,vine,non-native,0,2,N-fix,C3,common,0.951807229
Vincetoxicum nigrum,Asclepiadaceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,rare,0.084337349
Viola arvensis,Violaceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,occassional,0.506024096
Viola odorata,Violaceae,,,1,man-made,perennial,forb,non-native,0,4,not,C3,rare,0.168674699
Viola tricolor,Violaceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,rare,0.204819277
Agastache scrophulariifolia,Lamiacea,Lamiaceae/Agastache/Agastache_scrophulariifolia,Agastache_scrophulariifolia,1,prairie,perennial,forb,native,0,2,not,C3,rare,0.120481928
Amaranthus retroflexus,Amaranthaceae,Amaranthaceae/Amaranthus/Amaranthus_retroflexus,Amaranthus_retroflexus,1,prairie,annual,forb,native,0,2,not,C4,occassional,0.409638554
Amorpha canescens,Fabaceae,Fabaceae/Amorpha/Amorpha_canescens,Amorpha_canescens,1,prairie,perennial,woody,native,1,5,N-fix,C3,rare,0.120481928
Amphicarpaea bracteata,Fabaceae,Fabaceae/Amphicarpaea/Amphicarpaea_bracteata,Amphicarpaea_bracteata,1,prairie,annual/perennial,vine,native,0,5,N-fix,C3,occassional,0.614457831
Andropogon gerardii,Poaceae,Poaceae/Andropogon/Andropogon_gerardii,Andropogon_gerardii,1,prairie,perennial,graminoid,native,0,5,not,C4,occassional,0.710843373
Andropogon scoparium,Poaceae,Poaceae/Schizachyrium/Schizachyrium_scoparium,Schizachyrium_scoparium,1,prairie,perennial,graminoid,native,0,5,not,C4,occassional,0.554216867
Anemone cylindrica,Ranunculaceae,Ranunculaceae/Anemone/Anemone_cylindrica,Anemone_cylindrica,1,prairie,perennial,forb,native,0,2,not,C3,occassional,0.710843373
Angelica venenosa,Apiaceae,Apiaceae/Angelica/Angelica_venenosa,Angelica_venenosa,1,prairie,perennial,forb,native,1,1,not,C3,rare,0.168674699
Apocynum androsaemifolium,Apocynaceae,Apocynaceae/Apocynum/Apocynum_androsaemifolium,Apocynum_androsaemifolium,1,prairie,perennial,forb,native,0,3,not,C3,common,0.975903614
Arabis lyrata,Brassicaceae,Brassicaceae/Arabis/Arabis_lyrata,Arabis_lyrata,1,prairie,perennial,forb,native,0,1,not,C3,occassional,0.493975904
Arabis missouriensis,Brassicaceae,Brassicaceae/Arabis/Arabis_missouriensis,Arabis_missouriensis,1,prairie,perennial,forb,native,1,2,not,C3,rare,0.108433735
Arctostaphylos uva-ursi,Ericaceae,Ericaceae/Arctostaphylos/Arctostaphylos_uva-ursi,Arctostaphylos_uva-ursi,0,prairie,perennial,woody,native,1,1,not,C3,occassional,0.626506024
Arenaria serpyllifolia,Caryophyllaceae,Caryophyllaceae/Arenaria/Arenaria_serpyllifolia,Arenaria_serpyllifolia,1,prairie,annual,forb,non-native,0,2,not,C3,occassional,0.698795181
Arenaria stricta,Caryophyllaceae,Caryophyllaceae/Arenaria/Arenaria_stricta,Arenaria_stricta,1,prairie,annual/perennial,forb,native,0,1,not,C3,occassional,0.253012048
Aristida basiramea,Poaceae,Poaceae/Aristida/Aristida_basiramea,Aristida_basiramea,1,prairie,annual,graminoid,native,0,2,not,C4,rare,0.084337349
Aristida oligantha,Poaceae,Poaceae/Aristida/Aristida_oligantha,Aristida_oligantha,1,prairie,annual,graminoid,native,1,2,not,C4,rare,0.084337349
Aristida purpurascens,Poaceae,Poaceae/Aristida/Aristida_purpurascens,Aristida_purpurascens,1,prairie,perennial,graminoid,native,0,2,not,C4,rare,0.192771084
Arnoglossum atriplicifolium,Asteraceae,Asteraceae/Arnoglossum/Arnoglossum_atriplicifolium,Arnoglossum_atriplicifolium,1,prairie,perennial,forb,native,1,5,not,C3,occassional,0.253012048
Artemisia campestris,Asteraceae,Asteraceae/Artemisia/Artemisia_campestris,Artemisia_campestris,1,prairie,perennial,forb,native,0,2,not,C3,occassional,0.674698795
Asclepias amplexicaulis,Asclepiadaceae,Apocynaceae/Asclepias/Asclepias_amplexicaulis,Asclepias_amplexicaulis,1,prairie,perennial,forb,native,1,5,not,C3,rare,0.168674699
Asclepias hirtella,Asclepiadaceae,Asclepiadaceae/Asclepias/Asclepias_hirtella,Asclepias_hirtella,0,prairie,perennial,forb,native,1,2,not,C3,rare,0.084337349
Asclepias purpurascens,Asclepiadaceae,Apocynaceae/Asclepias/Asclepias_purpurascens,Asclepias_purpurascens,1,prairie,perennial,forb,native,0,4,not,C3,rare,0.228915663
Asclepias tuberosa ,Asclepiadaceae,Asclepiadaceae/Asclepias/Asclepias_tuberosa,Asclepias_tuberosa,1,prairie,perennial,forb,native,0,3,not,C3,occassional,0.614457831
Asclepias viridiflora,Asclepiadaceae,Apocynaceae/Asclepias/Asclepias_viridiflora,Asclepias_viridiflora,1,prairie,perennial,forb,native,0,2,not,C3,rare,0.21686747
Aster dumosus,Asteraceae,Asteraceae/Symphyotrichum/Symphyotrichum_dumosum,Symphyotrichum_dumosum,1,prairie,perennial,forb,native,1,3,not,C3,occassional,0.373493976
Aster ericoides,Asteraceae,Asteraceae/Symphyotrichum/Symphyotrichum_ericoides,Symphyotrichum_ericoides,1,prairie,perennial,forb,native,0,3,not,C3,rare,0.240963855
Aster laevis,Asteraceae,Asteraceae/Symphyotrichum/Symphyotrichum_laeve,Symphyotrichum_laeve,1,prairie,perennial,forb,native,0,5,not,C3,common,0.771084337
Aster oolentangiensis,Asteraceae,Asteraceae/Symphyotrichum/Symphyotrichum_oolentangiense,Symphyotrichum_oolentangiense,1,prairie,perennial,forb,native,0,2,not,C3,occassional,0.325301205
Aster pilosus,Asteraceae,Asteraceae/Symphyotrichum/Symphyotrichum_pilosum,Symphyotrichum_pilosum,1,prairie,perennial,forb,native,0,1,not,C3,occassional,0.626506024
Aster sericeus,Asteraceae,Asteraceae/Aster/Aster_sericeus,Aster_sericeus,0,prairie,perennial,forb,native,0,2,not,C3,rare,0.072289157
Aureolaria flava,Scrophulariaceae,Scrophulariaceae/Aureolaria/Aureolaria_flava,Aureolaria_flava,1,prairie,perennial,forb,native,1,2,not,C3,occassional,0.361445783
Aureolaria pedicularia,Scrophulariaceae,Scrophulariaceae/Aureolaria/Aureolaria_pedicularia,Aureolaria_pedicularia,1,prairie,annual,forb,native,0,3,not,C3,occassional,0.34939759
